employee_id,department,region,performance_score,years_experience,satisfaction_rating
EMP001,HR,Africa,57.16,1,4.0
EMP002,Operations,Middle East,53.64,1,4.9
EMP003,Operations,Latin America,69.1,5,4.6
EMP004,Finance,Oceania,97.25,2,3.2
EMP005,HR,Oceania,93.3,13,4.7
EMP006,Finance,Oceania,78.37,8,4.3
EMP007,IT,Latin America,70.88,6,3.9
EMP008,IT,Middle East,81.07,10,3.2
EMP009,Sales,Middle East,83.2,15,4.7
EMP010,IT,Asia,54.02,10,3.9
EMP011,R&D,North America,59.19,12,4.3
EMP012,IT,Europe,52.74,14,3.2
EMP013,Marketing,Europe,52.16,15,3.1
EMP014,HR,Middle East,57.89,12,3.3
EMP015,Operations,Europe,90.24,5,4.3
EMP016,HR,Asia,97.76,4,5.0
EMP017,Marketing,Middle East,51.0,6,4.0
EMP018,R&D,North America,89.0,2,3.2
EMP019,R&D,Europe,50.94,3,3.8
EMP020,Operations,Asia,97.69,2,3.2
EMP021,IT,Latin America,88.39,12,5.0
EMP022,Marketing,Latin America,87.26,15,4.2
EMP023,Operations,Europe,81.69,10,4.7
EMP024,Finance,Asia,62.75,8,5.0
EMP025,Finance,Africa,82.98,10,3.1
EMP026,Marketing,Asia,94.37,8,4.9
EMP027,Operations,Oceania,97.75,2,3.6
EMP028,R&D,Latin America,66.0,12,4.6
EMP029,HR,Latin America,67.13,4,4.6
EMP030,Finance,North America,80.07,9,4.9
EMP031,Finance,Oceania,65.36,15,4.2
EMP032,HR,Middle East,89.27,12,3.4
EMP033,Finance,Asia,56.26,13,3.8
EMP034,HR,Middle East,86.74,7,4.2
EMP035,Operations,North America,91.38,2,3.8
EMP036,Finance,Middle East,82.6,14,3.8
EMP037,Operations,Middle East,89.62,13,3.9
EMP038,IT,Oceania,67.55,7,3.1
EMP039,R&D,Latin America,51.81,5,3.7
EMP040,Sales,North America,65.31,1,4.1
EMP041,R&D,Oceania,56.8,6,4.0
EMP042,IT,Latin America,63.99,6,4.1
EMP043,Finance,Europe,63.3,1,3.9
EMP044,Marketing,Africa,82.93,13,4.2
EMP045,Finance,Middle East,62.48,15,3.3
EMP046,Marketing,Asia,91.15,7,4.3
EMP047,Sales,Europe,85.57,9,3.0
EMP048,Operations,Oceania,97.3,7,3.7
EMP049,IT,Oceania,92.7,1,3.7
EMP050,Marketing,Africa,99.63,5,3.2
EMP051,Finance,Oceania,77.24,12,4.7
EMP052,HR,Europe,84.89,14,4.1
EMP053,HR,Middle East,93.44,13,3.9
EMP054,Operations,North America,85.16,8,3.6
EMP055,HR,Asia,96.68,6,4.6
EMP056,Sales,North America,67.15,15,4.2
EMP057,Finance,Oceania,75.5,12,4.1
EMP058,Operations,Middle East,84.81,4,4.8
EMP059,Operations,Middle East,52.89,2,3.1
EMP060,IT,Europe,67.25,8,3.7
EMP061,IT,Middle East,84.1,12,4.5
EMP062,Marketing,Asia,56.95,2,4.5
EMP063,R&D,Europe,71.17,8,4.2
EMP064,IT,Asia,98.27,10,4.6
EMP065,R&D,Africa,65.26,1,4.0
EMP066,Finance,Asia,62.88,4,3.1
EMP067,HR,Oceania,66.06,9,4.8
EMP068,Finance,North America,67.7,14,3.3
EMP069,Finance,North America,89.95,4,3.8
EMP070,Finance,North America,68.31,11,4.8
EMP071,HR,Africa,64.83,9,4.1
EMP072,Finance,Asia,72.64,4,5.0
EMP073,Finance,Latin America,67.63,12,4.9
EMP074,Finance,Asia,57.55,5,3.3
EMP075,IT,Latin America,93.65,3,4.8
EMP076,Finance,Oceania,91.37,10,3.6
EMP077,HR,Middle East,77.44,11,3.6
EMP078,Finance,Middle East,88.22,7,3.6
EMP079,R&D,North America,88.13,10,4.4
EMP080,HR,Europe,60.14,8,3.2
EMP081,R&D,Oceania,51.65,5,3.8
EMP082,R&D,Middle East,58.31,7,4.6
EMP083,Sales,Oceania,58.71,8,4.0
EMP084,Marketing,Latin America,98.01,3,3.6
EMP085,Sales,North America,54.66,3,3.0
EMP086,R&D,Europe,72.3,14,3.7
EMP087,Finance,Latin America,85.49,9,4.3
EMP088,HR,Europe,94.64,1,4.9
EMP089,Sales,Middle East,65.88,13,4.3
EMP090,HR,Latin America,87.69,4,3.3
EMP091,Operations,Africa,56.33,14,3.7
EMP092,R&D,Middle East,61.47,10,3.5
EMP093,Sales,Latin America,66.68,10,3.7
EMP094,HR,Europe,79.63,14,3.3
EMP095,IT,Middle East,83.71,8,3.9
EMP096,Marketing,Asia,74.38,8,3.9
EMP097,IT,Asia,52.07,8,3.4
EMP098,Finance,Europe,73.8,4,3.1
EMP099,Operations,Latin America,66.64,3,4.1
EMP100,R&D,Africa,59.79,4,3.5
